iter	Passed	Remaining
708	953	391
709	954	389
710	955	388
711	956	386
712	957	385
713	959	384
714	961	383
715	962	381
716	964	380
717	965	379
718	966	377
719	967	376
720	968	374
721	969	373
722	970	371
723	971	370
724	973	369
725	974	367
726	975	366
727	976	364
728	977	363
729	978	362
730	980	360
731	981	359
732	983	358
733	984	356
734	985	355
735	986	353
736	988	352
737	989	351
738	990	349
739	991	348
740	992	347
741	994	345
742	995	344
743	996	343
744	997	341
745	998	340
746	999	338
747	1001	337
748	1002	335
749	1003	334
750	1005	333
751	1006	331
752	1007	330
753	1008	329
754	1010	327
755	1011	326
756	1012	324
757	1013	323
758	1015	322
759	1016	321
760	1017	319
761	1019	318
762	1020	317
763	1022	315
764	1023	314
765	1025	313
766	1026	311
767	1027	310
768	1029	309
769	1030	307
770	1032	306
771	1033	305
772	1035	304
773	1036	302
774	1037	301
775	1038	299
776	1040	298
777	1041	297
778	1042	295
779	1044	294
780	1045	293
781	1047	291
782	1048	290
783	1049	289
784	1051	288
785	1052	286
786	1053	285
787	1055	283
788	1056	282
789	1057	281
790	1058	279
791	1060	278
792	1061	277
793	1063	275
794	1064	274
795	1065	273
796	1067	271
797	1068	270
798	1070	269
799	1071	267
800	1072	266
801	1074	265
802	1075	263
803	1077	262
804	1078	261
805	1080	260
806	1081	258
807	1083	257
808	1084	256
809	1086	254
810	1087	253
811	1088	252
812	1090	250
813	1092	249
814	1093	248
815	1095	246
816	1096	245
817	1097	244
818	1099	242
819	1100	241
820	1101	240
821	1103	238
822	1104	237
823	1106	236
824	1108	235
825	1109	233
826	1110	232
827	1111	230
828	1113	229
829	1114	228
830	1115	226
831	1117	225
832	1118	224
833	1120	222
834	1121	221
835	1123	220
836	1124	218
837	1126	217
838	1127	216
839	1128	214
840	1130	213
841	1131	212
842	1133	211
843	1134	209
844	1136	208
845	1138	207
846	1139	205
847	1140	204
848	1142	203
849	1143	201
850	1144	200
851	1145	199
852	1147	197
853	1148	196
854	1149	194
855	1151	193
856	1152	192
857	1153	190
858	1155	189
859	1156	188
860	1157	186
861	1158	185
862	1159	184
863	1160	182
864	1162	181
865	1163	180
866	1164	178
867	1165	177
868	1166	175
869	1167	174
870	1168	173
871	1169	171
872	1170	170
873	1171	168
874	1172	167
875	1173	166
876	1174	164
877	1176	163
878	1177	162
879	1178	160
880	1180	159
881	1182	158
882	1183	156
883	1184	155
884	1186	154
885	1187	152
886	1189	151
887	1190	150
888	1192	148
889	1193	147
890	1195	146
891	1196	144
892	1198	143
893	1199	142
894	1200	140
895	1201	139
896	1202	138
897	1203	136
898	1205	135
899	1206	134
900	1207	132
901	1209	131
